alpha,beta,gamma,delta,epsilon
49.5887,61.7845,64.2046,66.4572,70.9943
56.1948,61.7297,59.1976,67.001,68.7108
54.3924,34.9647,63.8269,69.3368,53.6399
36.1623,49.4676,60.8458,63.0189,75.3766
33.2119,41.6361,62.4847,70.4184,71.0197
57.606,47.9945,60.4442,62.5014,57.2183
33.3448,63.8543,65.9872,60.8136,65.7589
30.1435,45.6766,55.7051,57.0375,74.8112
28.6074,37.6823,66.1263,54.4092,73.7916
59.1585,44.3704,51.4151,55.2611,62.8315
22.765,30.252,54.2456,55.195,71.3675
60.2901,47.8566,49.4306,66.2976,71.7251
34.9157,38.7587,59.9255,62.93,71.0442
59.0658,58.2984,65.6388,58.7028,77.2724
23.5532,42.7982,56.358,67.4611,66.2005
22.1317,69.4617,51.4746,55.1127,59.3737
29.1332,41.6866,54.6852,58.4062,69.7826
56.8956,68.0988,54.8133,69.1079,63.5625
29.9525,70.8963,48.8616,67.1552,63.5723
33.5717,41.4826,63.1204,56.0626,63.7346
28.9472,37.9807,67.9365,57.6428,71.1667
27.2563,66.522,43.0922,51.4794,68.7819
54.5241,36.9282,48.3167,67.094,60.5828
29.3055,56.4987,51.6043,68.8081,71.4119
52.2703,62.0647,63.7946,67.3744,70.3257
28.0847,58.1714,63.9895,62.7141,65.9923
27.2396,66.3491,40.8631,66.2071,70.7863
29.0607,43.2732,58.5747,64.072,59.0364
26.8698,58.5878,52.7169,60.966,63.8082
61.7091,52.3867,57.2959,70.1841,62.8
62.0813,44.6156,51.3869,53.8494,75.8241
33.8266,38.2016,52.0974,63.1933,64.3921
40.4141,61.9559,67.7141,56.5702,74.7707
65.3282,41.5486,62.519,57.979,72.1552
34.4779,25.3991,63.1143,62.3528,61.9729
60.9524,47.7616,48.5047,61.7252,66.0158
32.3721,61.3902,45.9726,73.8888,71.1292
28.2351,38.3824,66.8808,65.5133,69.475
66.4071,56.2442,67.0715,56.773,77.1605
49.7816,30.0648,60.8327,68.333,66.8497
35.9453,42.549,50.5072,64.3741,63.9873
58.7737,35.7189,47.5722,68.4293,65.4468
35.2026,41.9191,63.2367,54.3344,67.6292
33.1731,42.3304,54.5311,62.426,75.2401
30.7292,40.8001,53.5706,59.4289,59.2045
29.2261,39.1199,54.1113,65.9477,62.799
51.7366,60.0056,56.2485,66.5674,70.0542
27.7152,60.5207,52.4584,59.44,65.7875
24.4745,34.669,61.3651,57.1085,71.5775
29.2866,58.0456,72.8555,63.946,66.5867
30.2631,55.4348,46.4508,67.6491,72.5131
60.0215,39.1856,72.5307,65.8579,74.3945
60.2962,58.8538,69.0449,61.5714,76.515
62.5158,47.1737,46.8191,58.3256,72.487
25.6925,71.3714,64.1667,70.9024,66.5712
23.7265,44.1143,61.4815,68.368,66.6623
65.1554,67.2556,66.6709,60.2531,76.4214
58.3611,54.745,53.3351,66.3592,65.2442
38.6509,34.0665,55.0375,66.8453,68.7036
28.5118,42.3774,64.5143,51.175,62.5229
22.6757,63.4447,62.1964,56.3601,68.4002
29.086,53.1518,50.8011,63.9315,69.2386
62.1564,56.2592,49.233,54.6594,74.9886
69.0516,31.2532,54.746,67.8076,68.6768
40.8183,55.0707,64.2887,56.921,65.5165
58.4153,56.379,68.6789,58.0587,66.1718
29.4556,32.3141,46.8537,64.0081,72.122
38.8567,56.961,55.9899,61.9634,69.4447
22.0215,64.4854,75.6916,62.4332,69.864
58.5137,63.4191,65.6855,72.9265,69.6569
67.9477,62.9407,56.0829,64.8372,65.4214
58.1177,43.7212,57.1155,62.3857,76.3307
29.5576,41.0857,56.6694,60.1109,60.9106
58.0417,59.2887,60.478,58.684,69.3624
30.7924,40.4532,65.0641,79.2475,63.8991
66.3182,45.6917,72.4519,56.2373,77.4249
26.144,55.2642,71.9401,75.6027,60.6447
54.6053,42.7515,66.0119,60.9469,78.415
31.8027,38.2398,62.9977,65.7616,65.2704
24.7451,44.175,55.9037,64.3681,72.7424
23.0086,54.1602,67.4942,66.4595,67.6985
51.4305,37.5801,47.2938,60.5279,57.1951
60.1166,62.9055,60.6072,55.4751,62.7174
52.3676,62.3797,45.348,67.5894,74.0047
33.2733,63.9107,59.8118,68.2365,71.1829
32.2327,73.2313,56.8035,69.5178,60.7376
27.6905,63.3745,51.2479,61.6513,75.1304
55.7291,64.7796,53.9919,63.9152,72.5299
24.5001,56.974,62.4423,66.9143,69.2491
55.3308,36.9058,58.1237,70.8562,71.0737
33.2482,60.256,50.4748,75.7205,63.4175
30.2197,41.4604,44.1264,62.2489,76.6631
50.4489,68.4448,69.8531,61.2238,70.3074
31.8204,61.9466,43.0326,71.4693,68.9496
68.1981,47.3704,54.7926,78.6938,72.8209
59.1146,63.4678,51.2433,59.4074,74.3914
19.3127,34.7625,69.0519,67.2249,66.9788
55.5173,57.3961,54.5251,54.1527,63.644
56.1057,33.2445,66.4948,60.1302,70.1971
31.3736,40.2197,48.7879,69.2028,69.5851
29.6565,54.9428,51.2203,59.2048,71.1033
59.2716,26.6969,69.8804,61.1602,70.6544
34.7373,61.252,52.2247,60.6607,65.1003
57.8842,62.7747,42.7227,66.8247,62.9246
34.0396,59.2764,62.1375,51.0171,75.9711
52.5244,62.8952,65.1644,66.4491,76.8957
49.164,42.5312,63.053,63.5902,69.1609
20.9362,41.2203,56.2244,65.376,72.1708
54.8338,43.9172,72.9211,55.5557,68.7277
31.6133,46.6838,68.0058,64.0913,67.5507
57.5839,56.1905,62.7736,64.7434,73.7757
18.7197,32.7501,48.1332,62.4951,64.4525
71.4782,46.0946,67.6495,52.0262,68.5128
31.1871,46.7495,59.168,63.8428,72.7062
60.1179,38.4291,57.483,69.2542,75.1227
36.7362,66.4092,66.3103,70.3084,74.6645
28.2391,65.5091,47.9532,57.124,69.7211
28.5943,62.2266,62.9473,62.0709,65.8639
28.4785,47.6199,52.465,62.2937,63.5395
36.4775,66.4532,49.2,58.4412,72.9232
18.1206,67.3227,38.4542,55.7899,75.0179
58.5207,38.3129,48.0496,62.2379,65.2603
28.3371,60.2249,65.7543,66.2291,71.6464
38.1285,62.1919,59.0948,62.5597,69.4309
59.0953,39.1675,58.6128,64.7517,70.533
64.9511,39.4815,73.1919,61.5146,71.7856
27.9316,42.7811,63.2645,66.4605,70.0467
59.6619,62.2895,51.0861,59.2836,67.5805
57.9016,36.8519,71.1782,69.2033,73.4729
27.3774,60.0791,51.3206,67.4498,74.1064
60.2004,63.9145,49.0556,67.0747,68.1234
58.3218,38.0218,48.0109,57.9839,62.7342
56.1091,41.7553,58.4299,62.2494,67.3174
62.6702,60.218,64.7515,60.8807,64.0197
34.5982,41.1084,66.5372,58.0042,60.826
39.7024,59.0812,62.1714,64.9294,74.2037
57.8018,48.4095,62.416,55.5658,73.2307
60.5837,39.6176,46.2088,53.0152,65.2179
63.2842,64.4045,66.6707,56.9214,70.2228
50.5584,56.6321,72.6116,60.398,68.7262
57.3566,41.6677,52.3521,63.5799,65.1529
32.5402,66.0622,63.8981,69.8949,64.1468
