quarter,gdp,consumption
1,1000.0000,650.0000
2,1017.6537,663.4020
3,1034.2421,673.2884
4,1048.7786,680.3306
5,1060.6040,687.6257
6,1069.4876,695.5972
7,1075.6623,701.1776
8,1079.7890,702.5011
9,1082.8567,702.2012
10,1086.0316,704.3966
11,1090.4800,709.6523
12,1097.1908,715.1475
13,1106.8250,719.6518
14,1119.6157,725.8920
15,1135.3321,736.7562
16,1153.3153,750.8660
17,1172.5786,764.0337
18,1191.9581,774.5555
19,1210.2896,784.7144
20,1226.5865,796.4425
21,1240.1900,807.6486
22,1250.8695,814.7199
23,1258.8580,817.6178
24,1264.8167,820.1339
25,1269.7346,824.8990
26,1274.7783,830.3737
27,1281.1142,834.0985
28,1289.7313,837.2928
29,1301.2910,843.9125
30,1316.0263,855.4189
31,1333.7068,868.8370
32,1353.6737,880.9174
33,1374.9407,892.3346
34,1396.3438,905.8574
35,1416.7191,921.2994
36,1435.0803,934.7994
37,1450.7688,943.6362
38,1463.5541,949.6535
39,1473.6694,956.3623
40,1481.7762,963.9965
41,1488.8637,969.7347
42,1496.0987,972.6779
43,1504.6478,976.1621
44,1515.5002,983.8669
45,1529.3176,995.2689
46,1546.3332,1006.9735
47,1566.3167,1017.8868
48,1588.6098,1030.6222
49,1612.2261,1047.1098
50,1636.0020,1064.9276
51,1658.7740,1079.8567
52,1679.5557,1091.0697
53,1697.6889,1101.5009
54,1712.9434,1112.9864
55,1725.5526,1123.3778
56,1736.1782,1129.8888
57,1745.8098,1133.7423
58,1755.6142,1139.2231
59,1766.7585,1148.3966
60,1780.2320,1159.0789
