date,value
2026-09-04,1086
2026-09-05,1097
2026-09-06,1118
2026-09-07,1148
2026-09-08,1184
2026-09-09,1223
2026-09-10,1259
2026-09-11,1289
2026-09-12,1308
2026-09-13,1314
2026-09-14,1307
2026-09-15,1287
2026-09-16,1259
2026-09-17,1225
2026-09-18,1192
2026-09-19,1162
2026-09-20,1139
2026-09-21,1126
2026-09-22,1122
2026-09-23,1127
2026-09-24,1140
2026-09-25,1157
2026-09-26,1177
2026-09-27,1197
2026-09-28,1218
2026-09-29,1238
2026-09-30,1257
2026-10-01,1275
2026-10-02,1292
2026-10-03,1306
2026-10-04,1318
2026-10-05,1324
2026-10-06,1323
2026-10-07,1314
2026-10-08,1297
2026-10-09,1272
2026-10-10,1242
2026-10-11,1210
2026-10-12,1180
2026-10-13,1156
2026-10-14,1143
2026-10-15,1143
2026-10-16,1155
2026-10-17,1180
2026-10-18,1214
2026-10-19,1254
2026-10-20,1293
2026-10-21,1328
2026-10-22,1355
2026-10-23,1372
2026-10-24,1377
2026-10-25,1371
2026-10-26,1358
2026-10-27,1339
2026-10-28,1317
2026-10-29,1295
2026-10-30,1275
2026-10-31,1259
2026-11-01,1245
2026-11-02,1235
2026-11-03,1228
2026-11-04,1223
2026-11-05,1222
2026-11-06,1226
2026-11-07,1234
2026-11-08,1249
2026-11-09,1270
2026-11-10,1296
2026-11-11,1327
2026-11-12,1359
2026-11-13,1389
2026-11-14,1412
2026-11-15,1427
2026-11-16,1429
2026-11-17,1419
2026-11-18,1397
2026-11-19,1366
2026-11-20,1329
2026-11-21,1293
2026-11-22,1261
2026-11-23,1238
2026-11-24,1226
2026-11-25,1227
2026-11-26,1239
2026-11-27,1261
2026-11-28,1289
2026-11-29,1320
2026-11-30,1350
2026-12-01,1376
2026-12-02,1397
