date,value
2026-01-01,100
2026-01-02,105
2026-01-03,109
2026-01-04,113
2026-01-05,117
2026-01-06,120
2026-01-07,122
2026-01-08,123
2026-01-09,124
2026-01-10,124
2026-01-11,122
2026-01-12,120
2026-01-13,118
2026-01-14,115
2026-01-15,111
2026-01-16,108
2026-01-17,104
2026-01-18,100
2026-01-19,97
2026-01-20,95
2026-01-21,93
2026-01-22,91
2026-01-23,91
2026-01-24,92
2026-01-25,93
2026-01-26,95
2026-01-27,98
2026-01-28,102
2026-01-29,106
2026-01-30,110
2026-01-31,115
2026-02-01,120
2026-02-02,124
2026-02-03,128
2026-02-04,132
2026-02-05,135
2026-02-06,137
2026-02-07,138
2026-02-08,139
2026-02-09,139
2026-02-10,137
2026-02-11,135
2026-02-12,133
2026-02-13,130
2026-02-14,126
2026-02-15,123
2026-02-16,119
2026-02-17,115
2026-02-18,112
2026-02-19,110
2026-02-20,108
2026-02-21,106
2026-02-22,106
2026-02-23,107
2026-02-24,108
2026-02-25,110
2026-02-26,113
2026-02-27,117
2026-02-28,121
2026-03-01,125
2026-03-02,130
2026-03-03,135
2026-03-04,139
2026-03-05,143
2026-03-06,147
2026-03-07,150
2026-03-08,152
2026-03-09,153
2026-03-10,154
2026-03-11,154
2026-03-12,152
2026-03-13,150
2026-03-14,148
2026-03-15,145
2026-03-16,141
2026-03-17,138
2026-03-18,134
2026-03-19,130
2026-03-20,127
2026-03-21,125
2026-03-22,123
2026-03-23,121
2026-03-24,121
2026-03-25,122
2026-03-26,123
2026-03-27,125
2026-03-28,128
2026-03-29,132
2026-03-30,136
2026-03-31,140
