Date,Product,Region,Revenue,Units,Discount
2025-07-03,Yirgacheffe,Northeast,2400,12,0.05
2025-07-11,Huila,Midwest,1750,9,0.10
2025-07-19,Mandheling,Southwest,3100,15,0.00
2025-07-28,Yirgacheffe,Pacific,2650,11,0.05
2025-08-05,Huila,Northeast,1900,7,0.15
2025-08-14,Mandheling,Midwest,2850,13,0.05
2025-08-22,Yirgacheffe,Southwest,2200,10,0.10
2025-08-30,Huila,Pacific,1600,6,0.00
2025-09-07,Mandheling,Northeast,3300,17,0.05
09/16/2025,Yirgacheffe,Midwest,2500,12,0.10
2025-09-24,Huila,Southwest,1450,5,0.15
2025-10-02,Mandheling,Pacific,2950,14,0.00
2025-10-10,Yirgacheffe,Northeast,2750,13,0.05
2025-10-19,Huila,Midwest,2050,8,0.10
2025-10-27,Mandheling,Southwest,3450,18,0.05
2025-11-04,Yirgacheffe,Pacific,2300,9,0.00
2025-11-12,Huila,Northeast,1850,7,0.15
2025-11-20,Mandheling,Midwest,3050,16,0.05
2025-07-19,Mandheling,Southwest,3100,15,0.00
2025-10-10,Yirgacheffe,Northeast,2750,13,0.05
