CustomerID,Segment,SignupDate,LastPurchase,TotalSpend,Active
C001,Enterprise,2024-01-15,2026-02-20,15200.00,true
C002,SMB,2024-03-22,2026-01-10,4500.00,true
C003,Enterprise,2023-11-05,2025-08-15,18900.00,false
C004,Startup,2024-06-10,2026-03-01,2100.00,true
C005,SMB,2023-09-18,2025-06-20,3200.00,false
C006,Enterprise,2024-02-28,2026-02-15,22000.00,true
C007,Startup,2024-08-15,2026-01-25,1800.00,true
C008,SMB,2023-12-01,2025-09-10,5100.00,false
C009,Enterprise,2024-04-20,2026-03-05,12800.00,true
C010,Startup,2024-07-01,2025-07-15,950.00,false
C011,SMB,2024-01-10,2026-02-28,6200.00,true
C012,Enterprise,2023-10-25,2025-04-10,20500.00,false
C013,Startup,2024-09-05,2026-02-10,3400.00,true
C014,SMB,2024-05-15,2026-01-30,4800.00,true
C015,Enterprise,2024-03-01,2026-03-10,16500.00,true
C016,Startup,2024-10-20,2025-11-05,1200.00,false
C017,SMB,2023-08-12,2025-10-20,7300.00,false
C018,Enterprise,2024-06-15,2026-02-25,19100.00,true
