SKU,Product,Warehouse,Quantity,MinLevel,LastRestock
SKU001,Widget A,Main,45,20,2026-01-15
SKU002,Widget B,Main,8,15,2026-02-20
SKU003,Widget C,Main,120,50,2026-01-10
SKU004,Widget A,East,5,10,2025-12-01
SKU005,Widget B,East,30,25,2026-03-01
SKU006,Widget C,East,65,30,2026-02-15
SKU007,Widget A,West,22,20,2026-01-28
SKU008,Widget B,West,3,10,2025-11-15
SKU009,Widget C,West,88,40,2026-03-10
SKU010,Widget A,South,15,12,2026-02-05
SKU011,Widget B,South,50,20,2026-01-22
SKU012,Widget C,South,28,25,2025-12-20
SKU013,Widget A,North,35,15,2026-03-15
SKU014,Widget B,North,18,10,2026-02-28
SKU015,Widget C,North,42,30,2026-01-05
SKU016,Widget A,Main,60,25,2026-03-20
SKU017,Widget B,Main,12,10,2026-04-01
SKU018,Widget C,Main,95,50,2026-03-25
