Date,Product,Region,Revenue,Units,Discount
2026-01-05,Widget A,North,1500,10,0.05
2026-01-12,Widget B,South,2200,8,0.10
2026-01-20,Widget A,East,1800,6,0.00
2026-02-03,Widget C,West,900,15,0.15
2026-02-10,Widget B,North,2500,12,0.05
2026-02-18,Widget A,South,1200,9,0.10
2026-03-04,Widget C,East,950,20,0.00
2026-03-11,Widget B,West,2100,5,0.05
03/19/2026,Widget A,North,1600,7,0.10
2026-03-26,Widget C,South,850,11,0.15
2026-04-02,Widget B,East,2300,14,0.00
2026-04-09,Widget A,West,1400,3,0.05
2026-04-17,Widget C,North,1050,18,0.10
2026-04-24,Widget B,South,2150,6,0.05
2026-05-01,Widget A,East,1700,11,0.00
2026-05-08,Widget C,West,800,9,0.15
2026-05-15,Widget B,North,2400,10,0.10
2026-05-22,Widget A,South,1350,4,0.05
2026-01-05,Widget A,North,1500,10,0.05
2026-02-10,Widget B,North,2500,12,0.05
